playerId,birthDate
8445550,1969-12-10
8445735,1970-08-09
8445739,1971-01-27
8446053,1962-01-25
8446485,1971-05-24
8446788,1969-12-13
8447958,1971-01-01
8448208,1972-02-15
8448772,1965-07-16
8449645,1970-06-07
8449895,1972-02-12
8449924,1968-07-03
8450725,1968-02-01
8450824,1969-03-26
8450900,1966-05-23
8450978,1970-01-17
8451101,1969-07-07
8451224,1969-06-12
8451302,1969-01-23
8451359,1971-06-29
8451774,1971-02-13
8455919,1971-09-04
8456283,1971-07-10
8456464,1970-11-09
8456547,1970-08-10
8456588,1971-03-30
8456850,1971-04-24
8456887,1972-05-03
8456966,1970-12-19
8457063,1970-04-28
8457261,1971-11-29
8457981,1970-07-03
8458172,1972-05-13
8458229,1972-03-28
8458361,1971-01-21
8458494,1970-07-22
8458517,1973-08-31
8458519,1973-01-17
8458520,1973-07-20
8458525,1973-02-21
8458527,1973-03-24
8458529,1973-02-24
8458530,1973-07-30
8458536,1973-06-15
8458537,1972-05-08
8458541,1973-07-28
8458543,1972-12-04
8458573,1972-10-03
8458590,1972-07-04
8458637,1971-10-13
8458938,1974-04-12
8458943,1973-12-20
8458951,1974-04-13
8458954,1973-11-02
8458976,1974-03-26
8458982,1972-04-01
8459001,1972-12-22
8459004,1974-09-13
8459024,1973-06-24
8459053,1973-07-03
8459064,1973-04-23
8459094,1974-01-19
8459122,1974-05-09
8459246,1972-01-07
8459406,1972-07-15
8459424,1974-10-10
8459425,1975-07-05
8459426,1974-10-16
8459427,1974-12-28
8459428,1975-02-14
8459429,1974-10-11
8459433,1975-02-20
8459441,1975-03-13
8459442,1974-11-23
8459443,1975-01-09
8459444,1975-02-02
8459450,1975-01-22
8459454,1974-12-27
8459457,1975-07-24
8459461,1975-08-15
8459462,1975-06-08
8459479,1973-05-24
8459492,1975-02-17
8459493,1975-06-24
8459514,1974-10-24
8459534,1974-10-22
8459547,1973-07-19
8459574,1975-03-15
8459587,1973-08-12
8459596,1973-08-24
8459628,1975-04-06
8459640,1975-01-05
8459648,1974-11-29
8459670,1975-03-18
8459687,1974-12-31
8460105,1976-01-09
8460254,1973-01-04
8460465,1976-11-19
8460492,1976-06-26
8460496,1976-02-21
8460500,1976-03-23
8460502,1976-07-03
8460503,1976-09-09
8460504,1975-09-22
8460507,1976-06-04
8460527,1976-06-14
8460533,1976-02-20
8460540,1976-02-03
8460541,1976-05-27
8460542,1976-04-13
8460555,1975-07-17
8460556,1974-10-08
8460561,1976-07-13
8460562,1976-08-20
8460567,1976-03-08
8460577,1976-02-14
8460580,1976-08-12
8460621,1972-12-11
8460626,1976-02-11
8460639,1975-02-08
8460661,1975-11-08
8460719,1974-07-06
8460720,1976-08-17
8460735,1976-01-06
8460743,1973-01-23
8460770,1976-03-16
8462033,1977-06-12
8462036,1976-09-27
8462038,1976-10-10
8462041,1977-03-09
8462042,1977-07-01
8462045,1977-09-08
8462050,1976-10-01
8462060,1976-12-07
8462077,1977-06-21
8462093,1977-07-12
8462115,1976-10-14
8462118,1977-07-17
8462129,1977-03-11
8462176,1977-01-07
8462196,1977-03-03
8462209,1975-02-26
8462225,1976-12-29
8462535,1976-02-07
8462823,1974-06-25
8464956,1978-03-09
8464957,1978-04-01
8464960,1978-04-16
8464962,1974-11-02
8464966,1978-08-24
8464967,1977-02-26
8464975,1977-10-06
8464977,1978-06-16
8464979,1978-09-08
8464981,1978-08-16
8464983,1977-04-18
8464984,1977-11-16
8464989,1976-11-02
8464994,1978-06-14
8465005,1977-12-12
8465009,1977-03-18
8465012,1977-03-22
8465024,1977-09-29
8465025,1978-04-13
8465026,1977-02-02
8465028,1978-04-18
8465041,1977-04-07
8465042,1977-09-25
8465050,1977-12-16
8465056,1977-06-17
8465058,1978-09-03
8465059,1978-06-13
8465067,1978-08-10
8465113,1978-03-16
8465122,1976-12-23
8465166,1977-04-26
8465170,1976-12-27
8465175,1977-01-30
8465185,1977-04-23
8465192,1977-12-17
8465200,1978-03-02
8465202,1974-09-02
8465210,1977-04-15
8465914,1975-10-17
8465951,1978-09-07
8465968,1978-08-14
8465978,1977-07-23
8465992,1974-08-27
8466035,1978-10-27
8466138,1979-07-02
8466139,1979-09-15
8466140,1978-12-05
8466142,1979-04-17
8466144,1979-09-07
8466145,1979-01-14
8466147,1979-01-16
8466148,1979-01-12
8466149,1978-12-18
8466158,1979-01-23
8466160,1979-01-16
8466181,1978-11-10
8466182,1979-01-10
8466202,1979-09-04
8466203,1979-01-20
8466212,1979-05-30
8466215,1977-06-20
8466216,1979-02-15
8466232,1979-06-08
8466251,1979-05-02
8466260,1979-01-05
8466266,1978-01-03
8466285,1979-05-23
8466292,1979-02-13
8466300,1978-07-17
8466309,1978-03-19
8466333,1979-03-17
8466371,1973-05-04
8466378,1975-06-18
8466392,1975-05-21
8466393,1979-04-07
8466398,1979-01-24
8466399,1975-11-01
8467096,1976-07-12
8467304,1975-03-10
8467329,1980-04-21
8467330,1980-08-17
8467331,1979-11-06
8467332,1980-08-21
8467334,1980-05-18
8467335,1980-08-05
8467336,1980-01-13
8467338,1979-11-21
8467343,1979-10-28
8467344,1980-04-19
8467346,1980-02-29
8467348,1980-04-28
8467350,1979-05-14
8467351,1979-12-23
8467353,1980-02-18
8467354,1980-07-22
8467355,1980-05-05
8467357,1980-07-15
8467361,1980-02-16
8467365,1980-06-26
8467369,1980-08-18
8467370,1980-06-05
8467371,1980-02-10
8467389,1980-05-02
8467392,1979-10-18
8467393,1975-08-23
8467396,1978-11-06
8467400,1980-06-04
8467407,1979-01-18
8467408,1980-04-07
8467412,1980-04-09
8467422,1980-05-01
8467423,1978-09-17
8467428,1980-03-26
8467436,1979-09-02
8467439,1974-02-11
8467452,1978-12-30
8467463,1976-12-23
8467466,1980-07-05
8467478,1979-05-04
8467483,1979-03-16
8467491,1980-04-09
8467493,1979-06-18
8467496,1978-12-20
8467502,1978-12-23
8467514,1978-07-20
8467519,1974-07-09
8467531,1980-08-28
8467543,1978-10-27
8467545,1980-03-31
8467579,1979-01-30
8467580,1977-05-06
8467583,1980-07-20
8467831,1976-05-03
8467844,1973-09-02
8467856,1973-09-28
8467857,1975-10-09
8467875,1980-09-26
8467876,1980-09-26
8467878,1981-05-07
8467881,1981-08-19
8467882,1981-01-16
8467890,1981-03-05
8467899,1981-04-19
8467905,1980-05-16
8467906,1981-02-24
8467909,1981-04-10
8467910,1981-04-01
8467915,1979-11-07
8467917,1980-08-03
8467925,1980-08-14
8467927,1980-03-24
8467928,1980-03-26
8467931,1980-11-03
8467937,1981-01-17
8467939,1981-06-15
8467943,1979-12-05
8467949,1973-11-08
8467956,1973-04-12
8467964,1980-09-11
8467967,1980-11-11
8467977,1981-09-02
8467988,1979-12-01
8468001,1981-06-11
8468064,1981-08-29
8468083,1980-10-09
8468085,1981-06-13
8468086,1981-06-16
8468090,1981-08-16
8468095,1979-12-29
8468101,1976-08-31
8468113,1979-12-18
8468114,1980-03-12
8468121,1979-10-22
8468162,1979-02-04
8468172,1979-01-18
8468184,1979-05-07
8468208,1980-12-02
8468213,1980-02-21
8468224,1980-04-10
8468252,1980-03-07
8468309,1977-12-11
8468427,1977-04-15
8468432,1976-05-07
8468434,1977-08-25
8468463,1976-11-26
8468478,1978-05-02
8468482,1981-01-21
8468483,1982-02-14
8468484,1982-03-21
8468485,1981-10-08
8468486,1982-04-18
8468493,1981-03-24
8468498,1980-09-26
8468499,1981-07-27
8468500,1982-06-19
8468501,1982-02-25
8468502,1981-06-18
8468503,1982-02-09
8468504,1982-04-17
8468505,1982-08-19
8468506,1982-03-01
8468508,1981-10-04
8468509,1981-01-12
8468510,1981-02-19
8468513,1982-08-25
8468515,1981-03-01
8468517,1981-02-06
8468518,1982-02-05
8468520,1981-11-24
8468523,1980-10-22
8468526,1982-06-24
8468534,1975-07-13
8468535,1982-07-20
8468542,1981-03-05
8468548,1982-03-02
8468560,1980-12-09
8468568,1981-01-16
8468575,1980-08-03
8468577,1975-02-20
8468584,1981-03-30
8468598,1976-08-11
8468599,1981-03-02
8468604,1982-03-05
8468611,1981-06-17
8468626,1981-05-12
8468635,1982-04-06
8468636,1980-06-05
8468639,1980-11-25
8468647,1981-03-17
8468650,1982-07-29
8468660,1980-08-10
8468674,1982-04-03
8468695,1982-03-18
8468700,1982-02-03
8468704,1980-07-03
8468707,1981-05-07
8468714,1982-01-31
8468745,1982-04-22
8468778,1982-03-03
8468786,1982-03-16
8468789,1980-08-11
8468846,1981-03-15
8468868,1982-06-25
8468881,1981-06-30
8468884,1980-11-24
8468887,1982-07-10
8468927,1979-12-21
8469044,1977-09-29
8469120,1979-01-03
8469454,1983-04-15
8469455,1983-06-13
8469457,1983-04-03
8469459,1983-03-12
8469460,1982-01-19
8469462,1983-02-16
8469464,1983-05-06
8469465,1982-12-13
8469466,1983-08-13
8469467,1982-04-17
8469469,1982-05-03
8469470,1983-01-27
8469472,1982-12-23
8469473,1983-08-24
8469474,1982-11-23
8469475,1983-08-12
8469476,1983-01-29
8469477,1983-03-11
8469480,1983-09-01
8469483,1982-03-15
8469485,1983-05-04
8469488,1982-10-11
8469490,1981-11-14
8469492,1983-07-19
8469500,1982-06-08
8469501,1983-06-03
8469505,1982-08-26
8469506,1982-11-30
8469508,1983-03-02
8469509,1983-03-30
8469516,1983-03-31
8469521,1982-10-31
8469528,1982-09-17
8469531,1982-11-03
8469534,1983-04-30
8469542,1981-11-16
8469543,1983-04-04
8469544,1981-12-27
8469547,1983-02-02
8469555,1982-07-06
8469564,1982-08-20
8469575,1982-02-05
8469581,1983-05-16
8469582,1982-07-08
8469584,1983-04-06
8469587,1983-03-28
8469591,1983-04-18
8469598,1981-06-16
8469619,1981-07-18
8469622,1982-09-30
8469623,1977-02-03
8469626,1981-06-30
8469629,1982-03-24
8469638,1983-04-01
8469639,1983-06-23
8469647,1982-06-23
8469664,1981-12-28
8469665,1981-10-01
8469666,1982-04-04
8469670,1982-06-17
8469672,1981-07-02
8469681,1983-04-23
8469684,1983-06-07
8469685,1981-11-06
8469689,1982-05-02
8469707,1983-03-24
8469733,1983-03-22
8469752,1983-06-16
8469755,1983-07-12
8469759,1980-05-09
8469760,1982-12-23
8469765,1980-10-13
8469770,1983-03-20
8469779,1978-11-06
8469798,1983-07-28
8469812,1982-03-27
8469820,1981-01-02
